frame,size,state
14,Medium,Ripe
21,Medium,Unripe
45,Medium,Ripe
69,Small,Unripe
285,Small,Unripe
310,Medium,Ripe
410,Large,Ripe
423,Medium,Ripe
461,Small,Ripe
487,Medium,Unripe
513,Medium,Ripe
538,Small,Ripe
564,Small,Ripe
589,Medium,Ripe
615,Medium,Unripe
653,Medium,Ripe
678,Medium,Ripe
704,Medium,Ripe
729,Medium,Ripe
755,Medium,Ripe
780,Medium,Ripe
806,Small,Ripe
832,Medium,Ripe
857,Small,Ripe
921,Medium,Unripe
960,Medium,Unripe
998,Small,Ripe
1012,Medium,Unripe
1024,Medium,Ripe
1063,Large,Ripe
1075,Small,Unripe
1088,Medium,Ripe
1113,Medium,Ripe
1126,Medium,Ripe
1139,Medium,Unripe
1177,Small,Ripe
1202,Medium,Ripe
1228,Medium,Ripe
1241,Large,Unripe
1253,Medium,Ripe
1266,Medium,Ripe
1304,Medium,Ripe
1330,Medium,Ripe
1355,Large,Unripe
1368,Medium,Ripe
1381,Medium,Unripe
1407,Medium,Ripe
1550,Small,Ripe
1561,Medium,Ripe
1573,Medium,Ripe
1599,Medium,Ripe
1690,Medium,Unripe
1702,Medium,Ripe
1715,Medium,Ripe
1856,Medium,Ripe
1894,Small,Ripe
1919,Small,Ripe
1957,Large,Unripe
1995,Large,Unripe
2008,Large,Ripe
2084,Large,Ripe
2110,Medium,Unripe
2174,Small,Ripe
2198,Medium,Unripe
2263,Medium,Ripe
2275,Medium,Unripe
2301,Medium,Ripe
2339,Medium,Ripe
2377,Medium,Ripe
2390,Large,Ripe
2441,Medium,Ripe
2454,Medium,Unripe
2467,Small,Ripe
2492,Medium,Unripe
2531,Medium,Ripe
2569,Medium,Ripe
2582,Large,Ripe
2595,Medium,Ripe
2634,Medium,Ripe
2647,Medium,Ripe
2761,Large,Ripe
2812,Large,Unripe
2825,Medium,Ripe
2875,Large,Ripe
2913,Medium,Ripe
2926,Medium,Ripe
2939,Small,Unripe
2964,Medium,Ripe
2990,Medium,Ripe
3028,Medium,Unripe
3066,Large,Unripe
3091,Medium,Ripe
3129,Medium,Ripe
3206,Medium,Ripe
3232,Medium,Unripe
3283,Large,Unripe
3296,Small,Ripe
3321,Large,Ripe
3410,Large,Ripe
3423,Medium,Unripe
3436,Small,Ripe
3525,Large,Unripe
3538,Medium,Unripe
3550,Medium,Ripe
3576,Large,Unripe
3664,Medium,Ripe
3703,Medium,Ripe
3715,Medium,Ripe
3741,Medium,Ripe
3779,Medium,Ripe
3817,Medium,Unripe
3830,Small,Ripe
3868,Medium,Ripe
3894,Large,Unripe
3907,Medium,Ripe
3933,Medium,Ripe
3958,Large,Ripe
3983,Medium,Ripe
3996,Medium,Ripe
4009,Small,Unripe
4035,Medium,Unripe
4060,Medium,Ripe
4073,Large,Unripe
4124,Small,Ripe
4176,Large,Ripe
4201,Large,Unripe
4214,Medium,Ripe
4228,Medium,Unripe
4266,Large,Unripe
4304,Small,Ripe
4330,Medium,Ripe
4355,Large,Ripe
4418,Small,Unripe
4482,Medium,Ripe
4495,Medium,Unripe
4558,Medium,Ripe
4584,Medium,Ripe
4660,Medium,Unripe
4672,Medium,Ripe
4749,Medium,Unripe
4762,Large,Ripe
4825,Medium,Ripe
4838,Large,Unripe
4876,Medium,Ripe
4902,Small,Ripe
4940,Medium,Ripe
4965,Medium,Ripe
5016,Small,Unripe
5042,Small,Ripe
5054,Medium,Unripe
