frame,size,state
1,Medium,Ripe
36,Large,Unripe
49,Large,Ripe
58,Medium,Ripe
89,Medium,Ripe
113,Medium,Unripe
130,Small,Ripe
178,Medium,Unripe
291,Medium,Ripe
308,Medium,Ripe
324,Medium,Ripe
348,Medium,Unripe
380,Small,Ripe
387,Medium,Ripe
395,Large,Unripe
403,Medium,Ripe
412,Large,Ripe
420,Small,Ripe
429,Large,Unripe
437,Large,Unripe
469,Large,Unripe
493,Small,Ripe
509,Small,Ripe
533,Medium,Ripe
581,Small,Ripe
597,Large,Unripe
653,Large,Unripe
733,Medium,Ripe
749,Large,Ripe
757,Medium,Unripe
765,Large,Unripe
781,Medium,Ripe
797,Medium,Ripe
813,Medium,Unripe
829,Large,Ripe
838,Small,Unripe
869,Medium,Ripe
885,Medium,Unripe
901,Medium,Ripe
958,Large,Unripe
1007,Medium,Ripe
1023,Large,Unripe
1071,Small,Ripe
1103,Large,Ripe
1120,Small,Unripe
1184,Medium,Ripe
1215,Large,Ripe
1223,Small,Ripe
1312,Medium,Ripe
1320,Large,Unripe
1352,Small,Unripe
1360,Medium,Ripe
1392,Medium,Ripe
1440,Medium,Ripe
1464,Large,Unripe
1505,Large,Ripe
1537,Medium,Unripe
1625,Medium,Ripe
1657,Medium,Unripe
1665,Medium,Ripe
1673,Medium,Ripe
1681,Medium,Ripe
1713,Medium,Unripe
1760,Medium,Unripe
1777,Medium,Ripe
1809,Large,Ripe
1825,Medium,Ripe
1833,Large,Unripe
1904,Large,Unripe
1921,Large,Ripe
1929,Medium,Unripe
1945,Small,Unripe
1953,Medium,Ripe
1993,Medium,Ripe
2026,Small,Ripe
2042,Large,Ripe
2059,Medium,Ripe
2091,Medium,Ripe
2107,Medium,Ripe
2123,Medium,Unripe
2131,Medium,Unripe
2139,Medium,Ripe
2179,Medium,Ripe
2187,Medium,Unripe
2196,Medium,Ripe
2212,Medium,Ripe
2219,Large,Unripe
2228,Medium,Ripe
2235,Medium,Unripe
2243,Medium,Ripe
2251,Medium,Unripe
2276,Small,Ripe
2283,Medium,Ripe
2291,Medium,Ripe
2323,Medium,Ripe
2331,Large,Unripe
2380,Medium,Ripe
2444,Medium,Unripe
2452,Small,Ripe
2460,Large,Unripe
2484,Large,Unripe
2492,Small,Ripe
2524,Medium,Ripe
2556,Large,Unripe
2590,Medium,Unripe
2606,Medium,Unripe
2630,Large,Unripe
2646,Medium,Ripe
2670,Medium,Unripe
2678,Medium,Unripe
2694,Medium,Ripe
2726,Medium,Unripe
2750,Medium,Ripe
2758,Medium,Ripe
2766,Large,Unripe
2813,Large,Ripe
2837,Medium,Ripe
2878,Large,Unripe
2926,Large,Unripe
2950,Small,Ripe
2966,Medium,Unripe
2974,Medium,Ripe
3039,Small,Ripe
3168,Large,Ripe
3199,Large,Ripe
3280,Small,Unripe
3296,Small,Ripe
3328,Medium,Unripe
3344,Medium,Ripe
3352,Small,Unripe
3376,Small,Ripe
3383,Medium,Unripe
3407,Medium,Unripe
3416,Small,Ripe
3432,Medium,Ripe
3439,Large,Ripe
3472,Medium,Unripe
3496,Medium,Ripe
3512,Medium,Ripe
3543,Medium,Unripe
3665,Small,Ripe
3697,Medium,Ripe
3705,Medium,Unripe
3729,Medium,Unripe
3737,Medium,Unripe
3745,Medium,Ripe
3753,Medium,Unripe
3840,Medium,Ripe
3880,Large,Unripe
3952,Small,Ripe
3969,Small,Unripe
3984,Large,Ripe
3992,Medium,Ripe
