frame,size,state
1,Large,Unripe
36,Large,Ripe
176,Small,Ripe
227,Small,Unripe
240,Medium,Ripe
252,Medium,Unripe
265,Medium,Ripe
342,Large,Unripe
393,Large,Unripe
406,Medium,Unripe
432,Large,Unripe
471,Medium,Ripe
509,Medium,Ripe
535,Medium,Ripe
585,Medium,Ripe
610,Medium,Ripe
687,Medium,Ripe
763,Medium,Ripe
826,Medium,Ripe
851,Medium,Ripe
876,Large,Unripe
889,Medium,Unripe
952,Large,Unripe
965,Small,Ripe
991,Medium,Ripe
1017,Medium,Ripe
1055,Large,Ripe
1067,Small,Unripe
1131,Large,Unripe
1156,Medium,Ripe
1183,Large,Ripe
1207,Large,Ripe
1232,Large,Unripe
1258,Medium,Ripe
1335,Large,Ripe
1347,Large,Ripe
1385,Medium,Unripe
1398,Medium,Unripe
1411,Small,Ripe
1449,Medium,Ripe
1461,Small,Unripe
1474,Medium,Ripe
1512,Medium,Unripe
1525,Small,Ripe
1551,Medium,Unripe
1575,Medium,Unripe
1589,Small,Ripe
1613,Medium,Unripe
1626,Large,Ripe
1652,Large,Ripe
1664,Small,Ripe
1690,Medium,Ripe
1715,Large,Ripe
1779,Small,Ripe
1817,Large,Ripe
1830,Medium,Unripe
1868,Small,Unripe
1907,Medium,Unripe
1919,Medium,Ripe
1957,Medium,Ripe
1970,Medium,Ripe
1983,Medium,Ripe
1996,Medium,Unripe
2008,Medium,Ripe
2035,Small,Ripe
2074,Medium,Ripe
2100,Small,Ripe
2126,Large,Unripe
2189,Medium,Ripe
2202,Medium,Ripe
2265,Medium,Ripe
2278,Medium,Ripe
2291,Medium,Ripe
2304,Medium,Ripe
2329,Medium,Unripe
2367,Medium,Unripe
2393,Medium,Unripe
2405,Small,Ripe
2418,Medium,Unripe
2494,Medium,Ripe
2507,Medium,Ripe
2519,Small,Unripe
2532,Large,Unripe
2584,Medium,Ripe
2623,Large,Unripe
2636,Medium,Ripe
2648,Medium,Unripe
2828,Small,Unripe
2841,Small,Ripe
2854,Large,Unripe
2867,Medium,Unripe
2879,Medium,Ripe
2956,Medium,Ripe
2981,Large,Ripe
2993,Medium,Ripe
3082,Medium,Ripe
3121,Small,Ripe
3159,Medium,Ripe
3171,Large,Unripe
3209,Large,Unripe
3222,Medium,Ripe
3235,Medium,Unripe
3298,Medium,Unripe
3310,Medium,Ripe
3336,Medium,Ripe
3374,Small,Ripe
3412,Small,Unripe
3501,Large,Unripe
3514,Medium,Unripe
3539,Large,Unripe
3577,Medium,Ripe
3603,Medium,Ripe
3642,Large,Unripe
3655,Large,Unripe
3681,Large,Ripe
3694,Medium,Ripe
3758,Medium,Unripe
3783,Medium,Ripe
3808,Small,Unripe
3821,Medium,Ripe
3846,Medium,Ripe
3884,Medium,Ripe
3897,Medium,Ripe
3923,Medium,Ripe
3961,Small,Ripe
3986,Small,Ripe
3999,Medium,Unripe
4037,Large,Ripe
4050,Large,Ripe
4063,Medium,Unripe
4076,Medium,Ripe
4114,Medium,Ripe
4151,Medium,Unripe
4176,Medium,Ripe
4216,Medium,Ripe
4253,Medium,Ripe
4266,Medium,Ripe
4342,Medium,Ripe
4355,Medium,Ripe
4393,Medium,Ripe
4418,Medium,Ripe
4470,Small,Ripe
4495,Medium,Ripe
4571,Medium,Ripe
4710,Medium,Unripe
4787,Large,Ripe
4799,Small,Unripe
4901,Large,Ripe
4976,Large,Ripe
5002,Small,Ripe
