frame,size,state
4,Medium,Ripe
19,Medium,Ripe
84,Large,Unripe
108,Medium,Unripe
116,Medium,Ripe
140,Medium,Unripe
148,Medium,Unripe
180,Medium,Ripe
188,Medium,Ripe
204,Large,Ripe
236,Medium,Ripe
276,Medium,Ripe
300,Medium,Ripe
308,Medium,Ripe
355,Medium,Unripe
363,Medium,Ripe
387,Medium,Ripe
427,Medium,Unripe
643,Large,Unripe
675,Medium,Ripe
683,Small,Ripe
715,Medium,Ripe
723,Small,Ripe
755,Medium,Unripe
771,Large,Ripe
779,Small,Ripe
795,Small,Unripe
850,Medium,Ripe
858,Medium,Ripe
867,Small,Ripe
870,Medium,Ripe
874,Medium,Ripe
914,Medium,Ripe
922,Medium,Ripe
938,Medium,Ripe
986,Medium,Ripe
1002,Medium,Ripe
1010,Medium,Unripe
1042,Medium,Ripe
1058,Large,Ripe
1066,Medium,Ripe
1107,Medium,Ripe
1115,Large,Unripe
1131,Medium,Ripe
1147,Small,Ripe
1188,Medium,Ripe
1219,Large,Ripe
1252,Medium,Ripe
1275,Medium,Ripe
1299,Large,Unripe
1323,Medium,Ripe
1355,Medium,Ripe
1363,Large,Unripe
1403,Large,Unripe
1435,Large,Ripe
1458,Small,Ripe
1498,Medium,Unripe
1514,Medium,Ripe
1530,Medium,Ripe
1554,Large,Ripe
1603,Medium,Ripe
1619,Large,Unripe
1627,Medium,Ripe
1635,Medium,Ripe
1667,Medium,Ripe
1683,Small,Ripe
1699,Medium,Unripe
1707,Medium,Ripe
1779,Large,Unripe
1811,Large,Ripe
1834,Small,Ripe
1866,Medium,Ripe
1874,Small,Ripe
1882,Medium,Ripe
1890,Medium,Ripe
1932,Large,Ripe
1946,Medium,Ripe
1954,Medium,Unripe
1970,Medium,Ripe
2049,Medium,Ripe
2097,Medium,Ripe
2105,Large,Ripe
2114,Medium,Ripe
2163,Large,Ripe
2171,Small,Ripe
2195,Medium,Unripe
2203,Medium,Ripe
2219,Large,Unripe
2235,Small,Ripe
2243,Large,Ripe
2291,Medium,Ripe
2315,Large,Ripe
2323,Medium,Ripe
2331,Medium,Ripe
2339,Medium,Ripe
2347,Medium,Ripe
2370,Medium,Ripe
2387,Medium,Ripe
2410,Small,Ripe
2474,Small,Ripe
2569,Large,Unripe
2657,Medium,Ripe
2665,Large,Ripe
2674,Medium,Ripe
2714,Small,Ripe
2730,Small,Unripe
2754,Large,Unripe
2762,Medium,Ripe
2778,Medium,Ripe
2802,Medium,Ripe
2865,Medium,Ripe
2873,Medium,Ripe
2944,Small,Ripe
2968,Medium,Unripe
2977,Small,Ripe
2984,Large,Ripe
3000,Large,Ripe
3041,Medium,Ripe
3072,Medium,Ripe
3080,Medium,Ripe
3108,Medium,Ripe
3128,Large,Ripe
3144,Medium,Ripe
3152,Medium,Unripe
3265,Medium,Ripe
3281,Medium,Unripe
3305,Medium,Ripe
3361,Large,Ripe
3369,Small,Ripe
3377,Medium,Ripe
3393,Large,Ripe
3409,Large,Unripe
3433,Medium,Unripe
3489,Medium,Ripe
3496,Large,Ripe
3545,Medium,Ripe
3580,Medium,Ripe
3617,Medium,Ripe
3641,Medium,Ripe
3649,Large,Unripe
3657,Medium,Ripe
3696,Medium,Ripe
3737,Medium,Ripe
3746,Medium,Ripe
3753,Medium,Ripe
3761,Large,Ripe
3777,Large,Unripe
3825,Large,Ripe
3849,Large,Ripe
3889,Medium,Ripe
3913,Medium,Ripe
3953,Medium,Ripe
3993,Medium,Ripe
4017,Medium,Ripe
4049,Medium,Ripe
